Bandwidth,Latency,quantile,fabric
322,26.56,50q,EFA
842,26.8,50q,EFA
1531,27.3,50q,EFA
2003,28.52,50q,EFA
2891,28.46,50q,EFA
3710,29.4,50q,EFA
5127,31.06,50q,EFA
6260,32.11,50q,EFA
7504,36,50q,EFA
10270,40.59,50q,EFA
10993,42.03,50q,EFA
11523,44.42,50q,EFA
11801,47.23,50q,EFA
11799,49.68,50q,EFA
11751,50.95,50q,EFA
322,29.82,99q,EFA
842,30.99,99q,EFA
1531,31.62,99q,EFA
2003,34.02,99q,EFA
2891,33.87,99q,EFA
3710,35.08,99q,EFA
5127,39.94,99q,EFA
6260,45.26,99q,EFA
7504,58.06,99q,EFA
10270,60.41,99q,EFA
10993,59.77,99q,EFA
11523,62.62,99q,EFA
11801,67.68,99q,EFA
11799,72.66,99q,EFA
11751,74.4,99q,EFA
326,3.21,50q,IB
865,3.55,50q,IB
1613,3.61,50q,IB
2136,3.65,50q,IB
3167,3.9,50q,IB
4150,3.8,50q,IB
6221,4.09,50q,IB
8021,4.52,50q,IB
11915,5.69,50q,IB
12616,10.88,50q,IB
12650,10.9,50q,IB
12675,11.03,50q,IB
12259,11.04,50q,IB
12144,14.16,50q,IB
12178,14.23,50q,IB
326,3.88,99q,IB
865,4.43,99q,IB
1613,4.82,99q,IB
2136,5.04,99q,IB
3167,5.82,99q,IB
4150,5.43,99q,IB
6221,5.95,99q,IB
8021,7.19,99q,IB
11915,12.82,99q,IB
12616,16.06,99q,IB
12650,15.95,99q,IB
12675,16.06,99q,IB
12259,16.44,99q,IB
12144,16.55,99q,IB
12178,16.52,99q,IB































